Genotype,ID,DaysAtHarvest,Density,Shape,Observations
AMES13228,cq0002.00-4,146,1,1,
AMES13747,cq0031.00-1,111,1,1,
AMES13747,cq0031.00-6,111,1,1,
BBR,cq0388.00-1,111,3,3,
BBR,cq0388.00-2,111,3,3,
BBR,cq0388.00-3,111,3,3,
BBR,cq0388.00-4,111,3,3,
BBR,cq0388.00-5,111,3,3,
BBR,cq0388.00-6,111,3,3,
CHEN143,cq0186.00-1,143,1,1,
CHEN143,cq0186.00-2,143,1,1,
CHEN143,cq0186.00-4,144,1,1,
CHEN143,cq0186.00-5,143,1,1,head harvested before maturity/ seeds+flowers
CHEN143,cq0186.00-6,143,1,1,
CHEN147,cq0190.00-1,143,1,1,
CHEN147,cq0190.00-2,145,1,1,
CHEN147,cq0190.00-3,143,1,1,
CHEN147,cq0190.00-4,143,1,1,
CHEN147,cq0190.00-5,143,1,1,
CHEN147,cq0190.00-6,143,1,1,
CHEN150,cq0193.00-2,144,2,1,
CHEN150,cq0193.00-3,144,2,1,
CHEN150,cq0193.00-4,144,2,1,
CHEN150,cq0193.00-5,144,2,1,
CHEN150,cq0193.00-6,144,2,1,
CHEN162,cq0205.00-2,137,1,1,
CHEN162,cq0205.00-5,137,1,1,
CHEN162,cq0205.00-NA1,137,1,1,
CHEN162,cq0205.00-NA2,137,1,1,
CHEN175,cq0212.00-2,144,2,1,
CHEN179,cq0216.00-1,137,1,1,
CHEN179,cq0216.00-2,137,1,1,
CHEN179,cq0216.00-5,137,1,1,
CHEN179,cq0216.00-NA1,137,1,1,
CHEN183,cq0218.00-1,143,1,1,
CHEN183,cq0218.00-2,143,1,1,
CHEN183,cq0218.00-4,143,1,1,
CHEN183,cq0218.00-5,143,1,1,
CHEN183,cq0218.00-6,143,1,1,
CHEN194,cq0229.00-1,145,1,1,
CHEN194,cq0229.00-3,145,1,1,
CHEN195,cq0230.00-5,137,1,1,
CHEN195,cq0230.00-NA1,137,1,1,
CHEN210,cq0243.00-2,146,1,1,
CHEN216,cq0248.00-1,145,2,1,
CHEN216,cq0248.00-2,145,2,1,
CHEN216,cq0248.00-3,145,2,1,
CHEN216,cq0248.00-5,145,2,1,
CHEN220,cq0252.00-1,145,1,1,
CHEN220,cq0252.00-2,145,1,1,
CHEN220,cq0252.00-5,145,1,1,
CHEN220,cq0252.00-6,145,1,1,
CHEN220,cq0252.00-NA1,145,1,1,
CHEN315,cq0278.00-1,145,1,1,
CHEN354,cq0295.00-2,137,1,1,
CHEN354,cq0295.00-4,137,1,1,
CHEN354,cq0295.00-5,137,1,1,
CHEN376,cq0305.00-1,144,2,1,
CHEN376,cq0305.00-2,144,2,1,
CHEN376,cq0305.00-3,144,2,1,
CHEN376,cq0305.00-5,144,2,1,
CHEN376,cq0305.00-6,144,2,1,
CHERRYVANILLA,cq0333.00-1,111,3,2,
CHERRYVANILLA,cq0333.00-2,111,3,2,
CHERRYVANILLA,cq0333.00-3,111,3,2,
CHERRYVANILLA,cq0333.00-4,111,3,2,
CHERRYVANILLA,cq0333.00-5,111,3,2,
CHERRYVANILLA,cq0333.00-6,111,3,2,
CICA-127,cq0330.00-2,144,2,2,
CICA-127,cq0330.00-5,144,2,2,
CICA-127,cq0330.00-6,144,1,1,
CICA-17,cq0331.00-4,143,2,1,
G-205-95 DK,cq0336.00-2,140,2,3,
G-205-95 DK,cq0336.00-5,140,2,3,
G-205-95 DK,cq0336.00-6,140,2,3,
NSL91567,cq0049.00-3,117,3,3,
NSL91567,cq0049.00-6,117,3,3,
Ø654,cq0334.00-1,144,3,3,
Ø654,cq0334.00-2,144,3,3,
Ø654,cq0334.00-3,144,3,3,
Ø654,cq0334.00-4,144,3,3,
Ø654,cq0334.00-5,144,3,3,
Ø654,cq0334.00-6,144,3,3,
PI478414,cq0056.00-1,145,1,1,
PI478414,cq0056.00-2,145,1,1,red stem
PI478414,cq0056.00-3,145,1,1,
PI478414,cq0056.00-4,145,1,1,
PI478414,cq0056.00-5,145,1,1,yellow stem green panicle
PI478414,cq0056.00-6,145,1,1,
PI478418,cq0058.00-1,146,2,3,head harvested before maturity/ seeds+flowers
PI478418,cq0058.00-2,144,2,3,
PI478418,cq0058.00-5,144,2,3,
PI478418,cq0058.00-6,144,2,3,head harvested before maturity/ seeds+flowers
PI478418,cq0058.00-NA1,144,2,3,
PI478418,cq0058.00-NA2,144,2,3,
PI510538,cq0065.00-2,143,1,1,
PI510538,cq0065.00-4,143,1,1,brown and yellow seeds
PI510538,cq0065.00-5,143,1,1, brown an black seeds
PI510538,cq0065.00-6,143,1,1,
PI510549,cq0074.00-1,145,1,1,
PI510549,cq0074.00-2,145,1,1,
PI510549,cq0074.00-3,145,1,1,
PI510549,cq0074.00-4,145,1,1,
PI510549,cq0074.00-5,145,1,1,
PI510549,cq0074.00-6,145,1,1,
PI584524,cq0076.00-1,123,2,2,
PI584524,cq0076.00-2,123,2,2,
PI584524,cq0076.00-3,123,2,2,
PI584524,cq0076.00-4,123,2,2,
PI584524,cq0076.00-6,123,2,2,
PI596498,cq0078.00-1,145,1,1,
PI596498,cq0078.00-2,145,1,1,
PI596498,cq0078.00-4,145,1,1,
PI596498,cq0078.00-6,145,1,1,
PI614002,cq0079.00-1,144,1,1,
PI614002,cq0079.00-2,144,1,1,
PI614002,cq0079.00-3,145,1,1,
PI614002,cq0079.00-6,144,1,1,
PI614002,cq0079.00-NA1,144,1,1,
PI614002,cq0079.00-NA2,144,1,1,
PI614880,cq0080.00-1,123,3,2,
PI614880,cq0080.00-2,122,3,2,
PI614880,cq0080.00-5,122,3,2,
PI614880,cq0080.00-6,123,3,2,
PI614880,cq0080.00-NA1,122,3,2,
PI614881,cq0081.00-2,145,1,1,
PI614881,cq0081.00-5,145,1,1,
PI614881,cq0081.00-6,145,1,1,
PI614881,cq0081.00-NA1,143,2,1,head harvested before maturity/ seeds+flowers
PI614882,cq0082.00-1,123,2,2,
PI614882,cq0082.00-3,123,2,2,
PI614882,cq0082.00-4,123,2,2,
PI614882,cq0082.00-5,123,2,2,
PI614882,cq0082.00-6,123,2,2,
PI614883,cq0083.00-1,117,3,1,
PI614883,cq0083.00-3,117,3,1,
