Genotype,ID,DaysAtHarvest,SeedWT_All_g,Density,Shape,Observations
AMES13228,cq0002.00-4,146,1.04,1,1,
AMES13747,cq0031.00-1,111,8.67,1,1,
AMES13747,cq0031.00-6,111,9.32,1,1,
BBR,cq0388.00-1,111,11.17,3,3,
BBR,cq0388.00-2,111,18.4,3,3,
BBR,cq0388.00-3,111,8.79,3,3,
BBR,cq0388.00-4,111,4.25,3,3,
BBR,cq0388.00-5,111,10.52,3,3,
BBR,cq0388.00-6,111,0.24,3,3,
CHEN143,cq0186.00-1,143,8.22,1,1,
CHEN143,cq0186.00-2,143,3.74,1,1,
CHEN143,cq0186.00-4,144,2.81,1,1,
CHEN143,cq0186.00-5,143,0.96,1,1,head harvested before maturity/ seeds+flowers
CHEN143,cq0186.00-6,143,5.89,1,1,
CHEN147,cq0190.00-1,143,5.54,1,1,
CHEN147,cq0190.00-2,145,1.2,1,1,
CHEN147,cq0190.00-3,143,5.5,1,1,
CHEN147,cq0190.00-4,143,5.4,1,1,
CHEN147,cq0190.00-5,143,6.85,1,1,
CHEN147,cq0190.00-6,143,2.09,1,1,
CHEN150,cq0193.00-2,144,16.67,2,1,
CHEN150,cq0193.00-3,144,12.66,2,1,
CHEN150,cq0193.00-4,144,20.48,2,1,
CHEN150,cq0193.00-5,144,12.74,2,1,
CHEN150,cq0193.00-6,144,13,2,1,
CHEN162,cq0205.00-2,137,18.94,1,1,
CHEN162,cq0205.00-5,137,21.33,1,1,
CHEN162,cq0205.00-NA1,137,20.1,1,1,
CHEN162,cq0205.00-NA2,137,10.24,1,1,
CHEN175,cq0212.00-2,144,1.63,2,1,
CHEN179,cq0216.00-1,137,8.33,1,1,
CHEN179,cq0216.00-2,137,3.9,1,1,
CHEN179,cq0216.00-5,137,8.61,1,1,
CHEN179,cq0216.00-NA1,137,7.65,1,1,
CHEN183,cq0218.00-1,143,10.78,1,1,
CHEN183,cq0218.00-2,143,10.5,1,1,
CHEN183,cq0218.00-4,143,6.51,1,1,
CHEN183,cq0218.00-5,143,9.86,1,1,
CHEN183,cq0218.00-6,143,2.05,1,1,
CHEN194,cq0229.00-1,145,0.0363,1,1,
CHEN194,cq0229.00-3,145,1.38,1,1,
CHEN195,cq0230.00-5,137,18.08,1,1,
CHEN195,cq0230.00-NA1,137,5.76,1,1,
CHEN210,cq0243.00-2,146,1.56,1,1,
CHEN216,cq0248.00-1,145,0.83,2,1,
CHEN216,cq0248.00-2,145,1.99,2,1,
CHEN216,cq0248.00-3,145,2.15,2,1,
CHEN216,cq0248.00-5,145,0.34,2,1,
CHEN220,cq0252.00-1,145,7.05,1,1,
CHEN220,cq0252.00-2,145,4.6,1,1,
CHEN220,cq0252.00-5,145,5.28,1,1,
CHEN220,cq0252.00-6,145,7.32,1,1,
CHEN220,cq0252.00-NA1,145,9.52,1,1,
CHEN315,cq0278.00-1,145,1.05,1,1,
CHEN354,cq0295.00-2,137,1.77,1,1,
CHEN354,cq0295.00-4,137,12.92,1,1,
CHEN354,cq0295.00-5,137,14.09,1,1,
CHEN376,cq0305.00-1,144,23.69,2,1,
CHEN376,cq0305.00-2,144,15.5,2,1,
CHEN376,cq0305.00-3,144,9.94,2,1,
CHEN376,cq0305.00-5,144,10.52,2,1,
CHEN376,cq0305.00-6,144,15.94,2,1,
CHERRYVANILLA,cq0333.00-1,111,12.98,3,2,
