Genotype,ID,FWbiomass,DWbiomass,SeedNum_EstAll,SeedWT_All_g,SeedNum_Subset,SeedWT_Subset_g,MeanSeedNormArea
AMES13228,cq0002.00-4,26.87133229,1.812028618,625.136612,1.04,22,0.0366,0.028911901
AMES13747,cq0031.00-1,2.898620981,0.40269263,2596.363636,8.67,28,0.0935,0.044763812
AMES13747,cq0031.00-6,14.23815869,1.150293827,2877.177508,9.32,28,0.0907,0.044487919
BBR,cq0388.00-1,19.60070191,1.848059024,4333.189655,11.17,36,0.0928,0.039975142
BBR,cq0388.00-2,22.12919763,1.727051541,6930.741191,18.4,31,0.0823,0.041975333
BBR,cq0388.00-3,17.4035205,1.484710949,3236.119403,8.79,37,0.1005,0.042138857
BBR,cq0388.00-4,17.47972502,1.469075196,1837.837838,4.25,32,0.074,0.038286425
BBR,cq0388.00-5,23.1653648,1.982417194,3937.967914,10.52,21,0.0561,0.032198722
BBR,cq0388.00-6,18.27401124,1.29035501,92.56198347,0.24,28,0.0726,0.038522
CHEN143,cq0186.00-1,15.81012438,1.205009977,3942.732558,8.22,33,0.0688,0.067003535
CHEN143,cq0186.00-2,1.049421662,0.242930984,1103.089888,3.74,42,0.1424,0.03013143
CHEN143,cq0186.00-4,-3.194620281,0.086456905,1050.984252,2.81,19,0.0508,0.040598472
CHEN143,cq0186.00-5,-1.440759165,0.094594395,389.7435897,0.96,19,0.0468,0.037689405
CHEN143,cq0186.00-6,5.960651614,0.674174015,2619.270239,5.89,39,0.0877,0.038052718
CHEN147,cq0190.00-1,5.932007506,0.622390205,4629.110512,5.54,31,0.0371,0.022803893
CHEN147,cq0190.00-2,1.202795806,0.187435066,648.6486486,1.2,18,0.0333,0.03000448
CHEN147,cq0190.00-3,4.971929939,0.439775223,5049.627792,5.5,37,0.0403,0.021480903
CHEN147,cq0190.00-4,16.22217534,1.219116562,3441.758242,5.4,29,0.0455,0.026476742
CHEN147,cq0190.00-5,8.550013683,0.766412597,5257.336343,6.85,34,0.0443,0.026250969
CHEN147,cq0190.00-6,8.687587219,0.7729279,1367.801047,2.09,25,0.0382,0.026644622
CHEN150,cq0193.00-2,17.25478972,1.212317297,6782.785603,16.67,26,0.0639,0.03315248
CHEN150,cq0193.00-3,9.607138828,0.757861285,4675.568182,12.66,26,0.0704,0.036937451
CHEN150,cq0193.00-4,14.62322876,1.027541208,8485.554311,20.48,37,0.0893,0.03907072
CHEN150,cq0193.00-5,13.22830758,1.070816854,4797.48954,12.74,27,0.0717,0.035016576
CHEN150,cq0193.00-6,16.4919437,1.076441203,4880.546075,13,33,0.0879,0.037711558
CHEN162,cq0205.00-2,13.9794134,1.043903033,8054.046639,18.94,31,0.0729,0.034051831
CHEN162,cq0205.00-5,14.52194691,1.179514141,9100.8,21.33,32,0.075,0.035743059
CHEN175,cq0212.00-2,0.984890008,0.352163553,477.0731707,1.63,18,0.0615,0.047159125
CHEN179,cq0216.00-1,11.76590815,1.145934485,4891.778523,8.33,35,0.0596,0.029279041
CHEN179,cq0216.00-2,12.59838299,1.099284931,2122.128174,3.9,45,0.0827,0.031474838
CHEN179,cq0216.00-5,10.63021267,0.989718142,4486.901408,8.61,37,0.071,0.035068521
CHEN183,cq0218.00-1,13.30009407,1.005482925,7965.517241,10.78,30,0.0406,0.015051268
CHEN183,cq0218.00-2,15.45953426,0.88823936,8776.119403,10.5,28,0.0335,0.018810691
CHEN183,cq0218.00-4,2.252677813,0.286818696,4136.187845,6.51,23,0.0362,0.019765566
CHEN183,cq0218.00-5,9.475148463,0.765828819,5841.651706,9.86,33,0.0557,0.02675409
CHEN183,cq0218.00-6,8.801873107,0.820466574,1803.240741,2.05,38,0.0432,0.020017303
CHEN194,cq0229.00-1,-1.807932244,0.070494651,22,0.0363,22,0.0363,0.029537207
CHEN194,cq0229.00-3,3.440545891,0.404490578,782.4742268,1.38,22,0.0388,0.031704545
CHEN195,cq0230.00-5,7.628444607,0.681518193,8149.266247,18.08,43,0.0954,0.043820252
CHEN210,cq0243.00-2,8.617542675,0.754758249,612.9666012,1.56,20,0.0509,0.040732191
CHEN216,cq0248.00-1,13.44061313,0.844711678,324.5112782,0.83,26,0.0665,0.035994587
CHEN216,cq0248.00-2,12.79730279,1.057517253,959.9257885,1.99,26,0.0539,0.030785757
CHEN216,cq0248.00-3,14.36824126,1.054382326,735.042735,2.15,20,0.0585,0.039840331
CHEN216,cq0248.00-5,16.49100419,1.089284706,136.4963504,0.34,22,0.0548,0.035962708
CHEN220,cq0252.00-1,17.39712414,1.26918273,4246.987952,7.05,25,0.0415,0.023492232
CHEN220,cq0252.00-2,20.0248814,1.563602273,2882.205514,4.6,25,0.0399,0.025162984
CHEN220,cq0252.00-5,3.154012567,0.342368056,3513.307985,5.28,35,0.0526,0.024613916
CHEN220,cq0252.00-6,16.19200641,1.225982573,5380.512821,7.32,43,0.0585,0.023019723
CHEN315,cq0278.00-1,7.322666717,0.675289898,1087.737844,1.05,49,0.0473,0.025496232
CHEN354,cq0295.00-2,12.27925845,1.095441733,706.8219634,1.77,24,0.0601,0.03704023
CHEN354,cq0295.00-4,3.646668225,0.542228163,4423.612751,12.92,29,0.0847,0.04026102
CHEN354,cq0295.00-5,18.13769212,1.359912555,5550.063532,14.09,31,0.0787,0.036108053
CHEN376,cq0305.00-1,23.57856714,1.832547264,16369.28983,23.69,36,0.0521,0.02140419
CHEN376,cq0305.00-2,20.54610769,1.709226638,12007.04225,15.5,33,0.0426,0.019925264
CHEN376,cq0305.00-3,7.479755276,0.532322978,6686.098655,9.94,30,0.0446,0.021945419
CHEN376,cq0305.00-5,27.59455867,1.730828369,8365.301205,10.52,33,0.0415,0.021759613
CHEN376,cq0305.00-6,3.154383411,0.297077594,12149.39024,15.94,25,0.0328,0.021984644
CHERRYVANILLA,cq0333.00-1,20.54124141,1.744080249,4609.988901,12.98,32,0.0901,0.043147292
CHERRYVANILLA,cq0333.00-2,25.26305541,2.278209063,6700,18.09,44,0.1188,0.042351734
CHERRYVANILLA,cq0333.00-3,20.86641951,1.716995867,6525.170843,14.69,39,0.0878,0.036943316
CHERRYVANILLA,cq0333.00-4,23.36310106,1.827381176,5934.95671,17.69,31,0.0924,0.044363956
CHERRYVANILLA,cq0333.00-5,19.51286203,1.562504587,4977.282172,12.39,29,0.07219,0.037281457
CHERRYVANILLA,cq0333.00-6,21.72933295,2.008591386,2370.409234,7.53,30,0.0953,0.043931065
CICA-127,cq0330.00-2,12.3659721,1.168219204,5600.512164,16.2,27,0.0781,0.037018863
CICA-127,cq0330.00-5,9.551548455,0.921324951,839.0070922,1.69,28,0.0564,0.030640223
CICA-127,cq0330.00-6,15.89858173,1.264463369,53.59801489,0.12,18,0.0403,0.039486634
CICA-17,cq0331.00-4,2.739261149,0.342859177,6421.052632,15.25,32,0.076,0.033404629
G-205-95DK,cq0336.00-2,18.83430044,1.401355134,5391.855204,13.24,27,0.0663,0.040964742
G-205-95DK,cq0336.00-5,17.36858145,1.336316275,1365.058236,2.93,28,0.0601,0.030689481
G-205-95DK,cq0336.00-6,22.94406626,1.910586683,4151.495017,11.36,33,0.0903,0.038729503
NSL91567,cq0049.00-3,28.82415073,2.174086473,5047.067901,10.55,31,0.0648,0.027043821
