Genotype,ID,Area,NormalizedArea
AMES13214,cq0001.00,2500,0.018002448
AMES13214,cq0001.00,2583,0.01860013
AMES13214,cq0001.00,2625,0.018902571
AMES13214,cq0001.00,2675,0.01926262
AMES13214,cq0001.00,2679,0.019291424
AMES13214,cq0001.00,2737,0.01970908
AMES13214,cq0001.00,2816,0.020277958
AMES13214,cq0001.00,2840,0.020450781
AMES13214,cq0001.00,2869,0.02065961
AMES13214,cq0001.00,2937,0.021149276
AMES13214,cq0001.00,3011,0.021682149
AMES13214,cq0001.00,3031,0.021826168
AMES13214,cq0001.00,3052,0.021977389
AMES13214,cq0001.00,3079,0.022171815
AMES13214,cq0001.00,3138,0.022596673
AMES13214,cq0001.00,3139,0.022603874
AMES13214,cq0001.00,3153,0.022704688
AMES13214,cq0001.00,3179,0.022891913
AMES13214,cq0001.00,3192,0.022985526
AMES13214,cq0001.00,3206,0.02308634
AMES13214,cq0001.00,3228,0.023244761
AMES13214,cq0001.00,3235,0.023295168
AMES13214,cq0001.00,3319,0.02390005
AMES13214,cq0001.00,3322,0.023921653
AMES13214,cq0001.00,3335,0.024015266
AMES13214,cq0001.00,3409,0.024548139
AMES13214,cq0001.00,3411,0.024562541
AMES13214,cq0001.00,3464,0.024944192
AMES13214,cq0001.00,3509,0.025268236
AMES13214,cq0001.00,3520,0.025347447
AMES13214,cq0001.00,3542,0.025505869
AMES13214,cq0001.00,3564,0.02566429
AMES13214,cq0001.00,3578,0.025765104
AMES13214,cq0001.00,3583,0.025801109
AMES13214,cq0001.00,3597,0.025901923
AMES13214,cq0001.00,3622,0.026081947
AMES13214,cq0001.00,3629,0.026132354
AMES13214,cq0001.00,3630,0.026139555
AMES13214,cq0001.00,3632,0.026153957
AMES13214,cq0001.00,3635,0.02617556
AMES13214,cq0001.00,3638,0.026197163
AMES13214,cq0001.00,3644,0.026240369
AMES13214,cq0001.00,3656,0.02632678
AMES13214,cq0001.00,3678,0.026485202
AMES13214,cq0001.00,3684,0.026528408
AMES13214,cq0001.00,3714,0.026744437
AMES13214,cq0001.00,3715,0.026751638
AMES13214,cq0001.00,3719,0.026780442
AMES13214,cq0001.00,3727,0.02683805
AMES13214,cq0001.00,3733,0.026881256
AMES13214,cq0001.00,3764,0.027104486
AMES13214,cq0001.00,3804,0.027392525
AMES13214,cq0001.00,3817,0.027486138
AMES13214,cq0001.00,3821,0.027514942
AMES13214,cq0001.00,3837,0.027630158
AMES13214,cq0001.00,3850,0.02772377
AMES13214,cq0001.00,3866,0.027838986
AMES13214,cq0001.00,3891,0.028019011
AMES13214,cq0001.00,3940,0.028371859
AMES13214,cq0001.00,3946,0.028415064
AMES13214,cq0001.00,3950,0.028443868
AMES13214,cq0001.00,3954,0.028472672
AMES13214,cq0001.00,3956,0.028487074
AMES13214,cq0001.00,3971,0.028595089
AMES13214,cq0001.00,3971,0.028595089
AMES13214,cq0001.00,4022,0.028962339
AMES13214,cq0001.00,4054,0.02919277
AMES13214,cq0001.00,4057,0.029214373
AMES13214,cq0001.00,4068,0.029293584
AMES13214,cq0001.00,4086,0.029423202
AMES13214,cq0001.00,4086,0.029423202
AMES13214,cq0001.00,4104,0.029552819
AMES13214,cq0001.00,4108,0.029581623
AMES13214,cq0001.00,4146,0.02985526
AMES13214,cq0001.00,4159,0.029948873
AMES13214,cq0001.00,4167,0.030006481
AMES13214,cq0001.00,4182,0.030114496
AMES13214,cq0001.00,4184,0.030128898
AMES13214,cq0001.00,4202,0.030258515
AMES13214,cq0001.00,4205,0.030280118
AMES13214,cq0001.00,4222,0.030402535
AMES13214,cq0001.00,4223,0.030409736
AMES13214,cq0001.00,4226,0.030431339
AMES13214,cq0001.00,4230,0.030460143
AMES13214,cq0001.00,4234,0.030488946
AMES13214,cq0001.00,4239,0.030524951
AMES13214,cq0001.00,4247,0.030582559
AMES13214,cq0001.00,4254,0.030632966
AMES13214,cq0001.00,4274,0.030776986
AMES13214,cq0001.00,4279,0.030812991
AMES13214,cq0001.00,4297,0.030942608
AMES13214,cq0001.00,4298,0.030949809
AMES13214,cq0001.00,4316,0.031079427
AMES13214,cq0001.00,4317,0.031086628
AMES13214,cq0001.00,4323,0.031129834
AMES13214,cq0001.00,4331,0.031187441
AMES13214,cq0001.00,4332,0.031194642
AMES13214,cq0001.00,4342,0.031266652
AMES13214,cq0001.00,4344,0.031281054
AMES13214,cq0001.00,4359,0.031389069
AMES13214,cq0001.00,4363,0.031417873
AMES13214,cq0001.00,4376,0.031511486
AMES13214,cq0001.00,4386,0.031583495
AMES13214,cq0001.00,4410,0.031756319
AMES13214,cq0001.00,4419,0.031821128
AMES13214,cq0001.00,4428,0.031885936
AMES13214,cq0001.00,4434,0.031929142
AMES13214,cq0001.00,4436,0.031943544
AMES13214,cq0001.00,4445,0.032008353
AMES13214,cq0001.00,4448,0.032029956
AMES13214,cq0001.00,4452,0.03205876
AMES13214,cq0001.00,4462,0.03213077
AMES13214,cq0001.00,4499,0.032397206
AMES13214,cq0001.00,4503,0.03242601
AMES13214,cq0001.00,4562,0.032850868
AMES13214,cq0001.00,4574,0.032937279
AMES13214,cq0001.00,4590,0.033052495
AMES13214,cq0001.00,4596,0.033095701
AMES13214,cq0001.00,4597,0.033102902
AMES13214,cq0001.00,4629,0.033333333
AMES13214,cq0001.00,4648,0.033470152
AMES13214,cq0001.00,4678,0.033686181
AMES13214,cq0001.00,4683,0.033722186
AMES13214,cq0001.00,4688,0.033758191
AMES13214,cq0001.00,4701,0.033851804
AMES13214,cq0001.00,4746,0.034175848
AMES13214,cq0001.00,4762,0.034291064
AMES13214,cq0001.00,4762,0.034291064
AMES13214,cq0001.00,4801,0.034571902
AMES13214,cq0001.00,4802,0.034579103
AMES13214,cq0001.00,4812,0.034651113
AMES13214,cq0001.00,4830,0.03478073
AMES13214,cq0001.00,4846,0.034895946
AMES13214,cq0001.00,4850,0.03492475
AMES13214,cq0001.00,4907,0.035335206
AMES13214,cq0001.00,4992,0.035947289
AMES13214,cq0001.00,4998,0.035990495
AMES13214,cq0001.00,5018,0.036134514
AMES13214,cq0001.00,5065,0.03647296
AMES13214,cq0001.00,5115,0.036833009
AMES13214,cq0001.00,8644,0.062245265
AMES13228,cq0002.00,1911,0.013761072
AMES13228,cq0002.00,2172,0.015640527
AMES13228,cq0002.00,2194,0.015798949
AMES13228,cq0002.00,2232,0.016072586
AMES13228,cq0002.00,2253,0.016223806
AMES13228,cq0002.00,2278,0.016403831
AMES13228,cq0002.00,2279,0.016411032
AMES13228,cq0002.00,2294,0.016519047
AMES13228,cq0002.00,2315,0.016670267
AMES13228,cq0002.00,2318,0.01669187
AMES13228,cq0002.00,2377,0.017116728
AMES13228,cq0002.00,2411,0.017361561
AMES13228,cq0002.00,2419,0.017419169
AMES13228,cq0002.00,2427,0.017476777
AMES13228,cq0002.00,2460,0.017714409
AMES13228,cq0002.00,2477,0.017836826
AMES13228,cq0002.00,2481,0.01786563
AMES13228,cq0002.00,2529,0.018211277
AMES13228,cq0002.00,2557,0.018412904
AMES13228,cq0002.00,2568,0.018492115
AMES13228,cq0002.00,2578,0.018564125
AMES13228,cq0002.00,2586,0.018621733
AMES13228,cq0002.00,2591,0.018657737
AMES13228,cq0002.00,2621,0.018873767
AMES13228,cq0002.00,2637,0.018988983
AMES13228,cq0002.00,2646,0.019053791
AMES13228,cq0002.00,2727,0.019637071
AMES13228,cq0002.00,2767,0.01992511
AMES13228,cq0002.00,2778,0.020004321
AMES13228,cq0002.00,2787,0.020069129
AMES13228,cq0002.00,2788,0.02007633
AMES13228,cq0002.00,2789,0.020083531
AMES13228,cq0002.00,2793,0.020112335
AMES13228,cq0002.00,2806,0.020205948
AMES13228,cq0002.00,2807,0.020213149
AMES13228,cq0002.00,2831,0.020385972
AMES13228,cq0002.00,2840,0.020450781
AMES13228,cq0002.00,2849,0.02051559
AMES13228,cq0002.00,2853,0.020544394
AMES13228,cq0002.00,2853,0.020544394
AMES13228,cq0002.00,2870,0.020666811
AMES13228,cq0002.00,2879,0.02073162
AMES13228,cq0002.00,2886,0.020782026
AMES13228,cq0002.00,2915,0.020990855
AMES13228,cq0002.00,2933,0.021120472
AMES13228,cq0002.00,2935,0.021134874
AMES13228,cq0002.00,2937,0.021149276
AMES13228,cq0002.00,2945,0.021206884
AMES13228,cq0002.00,2973,0.021408512
AMES13228,cq0002.00,3018,0.021732556
AMES13228,cq0002.00,3033,0.02184057
AMES13228,cq0002.00,3035,0.021854972
AMES13228,cq0002.00,3047,0.021941384
AMES13228,cq0002.00,3079,0.022171815
AMES13228,cq0002.00,3088,0.022236624
AMES13228,cq0002.00,3108,0.022380644
AMES13228,cq0002.00,3111,0.022402247
AMES13228,cq0002.00,3132,0.022553467
AMES13228,cq0002.00,3155,0.02271909
AMES13228,cq0002.00,3161,0.022762296
AMES13228,cq0002.00,3174,0.022855908
AMES13228,cq0002.00,3182,0.022913516
AMES13228,cq0002.00,3208,0.023100742
AMES13228,cq0002.00,3217,0.023165551
AMES13228,cq0002.00,3217,0.023165551
AMES13228,cq0002.00,3222,0.023201555
AMES13228,cq0002.00,3262,0.023489595
AMES13228,cq0002.00,3281,0.023626413
AMES13228,cq0002.00,3284,0.023648016
AMES13228,cq0002.00,3298,0.02374883
AMES13228,cq0002.00,3306,0.023806438
AMES13228,cq0002.00,3318,0.023892849
AMES13228,cq0002.00,3338,0.024036869
AMES13228,cq0002.00,3344,0.024080075
AMES13228,cq0002.00,3376,0.024310506
AMES13228,cq0002.00,3404,0.024512134
AMES13228,cq0002.00,3407,0.024533737
AMES13228,cq0002.00,3416,0.024598545
AMES13228,cq0002.00,3420,0.024627349
AMES13228,cq0002.00,3460,0.024915388
AMES13228,cq0002.00,3460,0.024915388
AMES13228,cq0002.00,3471,0.024994599
AMES13228,cq0002.00,3475,0.025023403
AMES13228,cq0002.00,3499,0.025196227
AMES13228,cq0002.00,3533,0.02544106
AMES13228,cq0002.00,3541,0.025498668
AMES13228,cq0002.00,3585,0.025815511
AMES13228,cq0002.00,3592,0.025865918
AMES13228,cq0002.00,3611,0.026002736
AMES13228,cq0002.00,3624,0.026096349
AMES13228,cq0002.00,3626,0.026110751
AMES13228,cq0002.00,3636,0.026182761
AMES13228,cq0002.00,3637,0.026189962
AMES13228,cq0002.00,3645,0.02624757
AMES13228,cq0002.00,3653,0.026305178
AMES13228,cq0002.00,3659,0.026348383
AMES13228,cq0002.00,3662,0.026369986
AMES13228,cq0002.00,3667,0.026405991
AMES13228,cq0002.00,3674,0.026456398
AMES13228,cq0002.00,3679,0.026492403
AMES13228,cq0002.00,3680,0.026499604
AMES13228,cq0002.00,3695,0.026607619
AMES13228,cq0002.00,3727,0.02683805
AMES13228,cq0002.00,3738,0.026917261
AMES13228,cq0002.00,3760,0.027075682
AMES13228,cq0002.00,3763,0.027097285
AMES13228,cq0002.00,3764,0.027104486
AMES13228,cq0002.00,3769,0.027140491
AMES13228,cq0002.00,3802,0.027378123
AMES13228,cq0002.00,3825,0.027543746
AMES13228,cq0002.00,3830,0.027579751
AMES13228,cq0002.00,3877,0.027918197
AMES13228,cq0002.00,3910,0.028155829
AMES13228,cq0002.00,3933,0.028321452
AMES13228,cq0002.00,3964,0.028544682
AMES13228,cq0002.00,4076,0.029351192
AMES13228,cq0002.00,4107,0.029574422
AMES13228,cq0002.00,4160,0.029956074
AMES13228,cq0002.00,4353,0.031345863
AMES13228,cq0002.00,4506,0.032447613
AMES13228,cq0002.00,4544,0.03272125
AMES13228,cq0002.00,4632,0.033354936
AMES13228,cq0002.00,4852,0.034939152
AMES13228,cq0002.00,6881,0.049549939
AMES13719,cq0003.00,3022,0.02176136
AMES13719,cq0003.00,3200,0.023043134
AMES13719,cq0003.00,3320,0.023907251
AMES13719,cq0003.00,3499,0.025196227
AMES13719,cq0003.00,3567,0.025685893
AMES13719,cq0003.00,3574,0.0257363
AMES13719,cq0003.00,3628,0.026125153
AMES13719,cq0003.00,3648,0.026269173
AMES13719,cq0003.00,3664,0.026384388
AMES13719,cq0003.00,3839,0.02764456
AMES13719,cq0003.00,3841,0.027658962
AMES13719,cq0003.00,3850,0.02772377
AMES13719,cq0003.00,3877,0.027918197
AMES13719,cq0003.00,3878,0.027925398
AMES13719,cq0003.00,3883,0.027961403
AMES13719,cq0003.00,3922,0.028242241
AMES13719,cq0003.00,3989,0.028724707
AMES13719,cq0003.00,4006,0.028847123
AMES13719,cq0003.00,4025,0.028983942
AMES13719,cq0003.00,4032,0.029034349
AMES13719,cq0003.00,4039,0.029084756
AMES13719,cq0003.00,4045,0.029127961
AMES13719,cq0003.00,4243,0.030553755
AMES13719,cq0003.00,4269,0.030740981
AMES13719,cq0003.00,4269,0.030740981
AMES13719,cq0003.00,4274,0.030776986
AMES13719,cq0003.00,4389,0.031605098
AMES13719,cq0003.00,4407,0.031734716
AMES13719,cq0003.00,4411,0.03176352
AMES13719,cq0003.00,4420,0.031828329
AMES13719,cq0003.00,4440,0.031972348
AMES13719,cq0003.00,4462,0.03213077
AMES13719,cq0003.00,4463,0.032137971
AMES13719,cq0003.00,4480,0.032260387
AMES13719,cq0003.00,4490,0.032332397
AMES13719,cq0003.00,4492,0.032346799
AMES13719,cq0003.00,4496,0.032375603
AMES13719,cq0003.00,4499,0.032397206
AMES13719,cq0003.00,4539,0.032685245
AMES13719,cq0003.00,4545,0.032728451
AMES13719,cq0003.00,4545,0.032728451
AMES13719,cq0003.00,4546,0.032735652
AMES13719,cq0003.00,4557,0.032814863
AMES13719,cq0003.00,4566,0.032879672
AMES13719,cq0003.00,4579,0.032973284
AMES13719,cq0003.00,4645,0.033448549
AMES13719,cq0003.00,4689,0.033765392
AMES13719,cq0003.00,4729,0.034053431
AMES13719,cq0003.00,4740,0.034132642
AMES13719,cq0003.00,4748,0.03419025
AMES13719,cq0003.00,4761,0.034283863
AMES13719,cq0003.00,4773,0.034370274
AMES13719,cq0003.00,4791,0.034499892
AMES13719,cq0003.00,4822,0.034723122
AMES13719,cq0003.00,4838,0.034838338
AMES13719,cq0003.00,4852,0.034939152
AMES13719,cq0003.00,4871,0.03507597
AMES13719,cq0003.00,4883,0.035162382
AMES13719,cq0003.00,4886,0.035183985
AMES13719,cq0003.00,4886,0.035183985
AMES13719,cq0003.00,4907,0.035335206
AMES13719,cq0003.00,4911,0.03536401
AMES13719,cq0003.00,4932,0.03551523
AMES13719,cq0003.00,4953,0.035666451
AMES13719,cq0003.00,4978,0.035846475
AMES13719,cq0003.00,4994,0.035961691
AMES13719,cq0003.00,5009,0.036069705
AMES13719,cq0003.00,5012,0.036091308
AMES13719,cq0003.00,5025,0.036184921
AMES13719,cq0003.00,5029,0.036213725
AMES13719,cq0003.00,5069,0.036501764
AMES13719,cq0003.00,5115,0.036833009
AMES13719,cq0003.00,5173,0.037250666
AMES13719,cq0003.00,5207,0.037495499
AMES13719,cq0003.00,5227,0.037639519
AMES13719,cq0003.00,5228,0.03764672
AMES13719,cq0003.00,5232,0.037675524
AMES13719,cq0003.00,5310,0.0382372
AMES13719,cq0003.00,5325,0.038345215
AMES13719,cq0003.00,5335,0.038417225
AMES13719,cq0003.00,5335,0.038417225
AMES13719,cq0003.00,5353,0.038546842
AMES13719,cq0003.00,5356,0.038568445
AMES13719,cq0003.00,5377,0.038719666
AMES13719,cq0003.00,5419,0.039022107
AMES13719,cq0003.00,5426,0.039072514
AMES13719,cq0003.00,5427,0.039079715
