id,height,area,date,camera
cq0002.00-1,53,543,20160718,side1
cq0002.00-2,19,83,20160718,side1
cq0002.00-3,52,688,20160718,side1
cq0002.00-4,37,422,20160718,side1
cq0002.00-5,22,320,20160718,side1
cq0002.00-6,34,355,20160718,side1
cq0031.00-1,13,131,20160718,side1
cq0031.00-4,37,426,20160718,side1
cq0031.00-6,19,132,20160718,side1
cq0049.00-3,31,659,20160718,side1
cq0049.00-6,19,156,20160718,side1
cq0055.00-2,25,119,20160718,side1
cq0055.00-3,14,99,20160718,side1
cq0055.00-4,16,95,20160718,side1
cq0056.00-1,19,229,20160718,side1
cq0056.00-2,29,216,20160718,side1
cq0056.00-3,23,211,20160718,side1
cq0056.00-4,40,899,20160718,side1
cq0056.00-5,51,560,20160718,side1
cq0056.00-6,28,453,20160718,side1
cq0058.00-1,30,273,20160718,side1
cq0058.00-2,28,356,20160718,side1
cq0058.00-3,49,490,20160718,side1
cq0058.00-4,19,247,20160718,side1
cq0058.00-5,56,1127,20160718,side1
cq0058.00-6,18,198,20160718,side1
cq0065.00-1,64,787,20160718,side1
cq0065.00-2,21,158,20160718,side1
cq0065.00-3,32,430,20160718,side1
cq0065.00-4,51,421,20160718,side1
cq0065.00-5,63,970,20160718,side1
cq0065.00-6,19,276,20160718,side1
cq0074.00-1,51,281,20160718,side1
cq0074.00-2,19,206,20160718,side1
cq0074.00-3,18,129,20160718,side1
cq0074.00-4,17,101,20160718,side1
cq0074.00-5,40,205,20160718,side1
cq0074.00-6,64,1463,20160718,side1
cq0076.00-1,30,666,20160718,side1
cq0076.00-2,36,517,20160718,side1
cq0076.00-3,69,806,20160718,side1
cq0076.00-4,52,532,20160718,side1
cq0076.00-5,35,400,20160718,side1
cq0076.00-6,23,283,20160718,side1
cq0078.00-1,47,385,20160718,side1
cq0078.00-2,38,412,20160718,side1
cq0078.00-3,71,575,20160718,side1
cq0078.00-4,50,588,20160718,side1
cq0078.00-5,52,925,20160718,side1
cq0078.00-6,45,632,20160718,side1
cq0079.00-1,52,947,20160718,side1
cq0079.00-2,15,119,20160718,side1
cq0079.00-3,14,132,20160718,side1
cq0079.00-4,69,1555,20160718,side1
cq0079.00-5,39,761,20160718,side1
cq0079.00-6,69,901,20160718,side1
cq0080.00-1,40,623,20160718,side1
cq0080.00-2,40,516,20160718,side1
cq0080.00-3,68,366,20160718,side1
cq0080.00-4,33,547,20160718,side1
cq0080.00-5,45,866,20160718,side1
cq0080.00-6,64,1372,20160718,side1
cq0081.00-2,11,63,20160718,side1
cq0081.00-3,60,760,20160718,side1
cq0081.00-4,67,1585,20160718,side1
cq0081.00-5,42,816,20160718,side1
cq0081.00-6,19,130,20160718,side1
cq0082.00-1,96,1141,20160718,side1
cq0082.00-3,26,344,20160718,side1
cq0082.00-4,47,662,20160718,side1
cq0082.00-5,31,751,20160718,side1
cq0082.00-6,50,756,20160718,side1
cq0083.00-1,19,342,20160718,side1
cq0083.00-3,34,513,20160718,side1
cq0083.00-5,33,658,20160718,side1
cq0083.00-6,14,124,20160718,side1
cq0085.00-2,31,455,20160718,side1
cq0085.00-3,16,136,20160718,side1
cq0085.00-4,25,212,20160718,side1
cq0085.00-6,20,301,20160718,side1
cq0086.00-1,40,779,20160718,side1
cq0086.00-2,36,659,20160718,side1
cq0086.00-3,11,109,20160718,side1
cq0086.00-4,37,652,20160718,side1
cq0086.00-5,25,443,20160718,side1
cq0086.00-6,16,110,20160718,side1
cq0088.00-1,46,877,20160718,side1
cq0088.00-2,34,1077,20160718,side1
cq0088.00-3,46,1241,20160718,side1
cq0088.00-4,8,36,20160718,side1
cq0088.00-5,55,1144,20160718,side1
cq0088.00-6,51,483,20160718,side1
cq0092.00-3,41,327,20160718,side1
cq0113.00-1,70,1277,20160718,side1
cq0113.00-2,29,1034,20160718,side1
cq0113.00-3,55,433,20160718,side1
cq0113.00-4,40,974,20160718,side1
cq0113.00-5,39,199,20160718,side1
cq0113.00-6,22,99,20160718,side1
cq0127.00-2,31,389,20160718,side1
cq0127.00-3,28,429,20160718,side1
cq0127.00-6,33,468,20160718,side1
cq0129.00-1,47,1445,20160718,side1
cq0129.00-3,42,1175,20160718,side1
cq0129.00-5,27,284,20160718,side1
cq0137.00-1,53,184,20160718,side1
cq0137.00-2,29,333,20160718,side1
cq0137.00-3,31,468,20160718,side1
cq0137.00-4,29,318,20160718,side1
cq0137.00-5,22,334,20160718,side1
cq0137.00-6,46,647,20160718,side1
