number,PC1,PC2,PC3,PC4,Genotype,ID,DaysAtHarvest,SeedWT_All_g,Density,Shape
1,-2.003131236,0.458785284,0.113197073,-0.003475478,AMES13228,cq0002.00-4,146,1.04,1,1
2,-0.191109244,-0.504150701,1.892084371,-0.945854393,AMES13747,cq0031.00-1,111,8.67,1,1
3,-0.150750076,-0.577896838,1.860644265,-0.953275481,AMES13747,cq0031.00-6,111,9.32,1,1
4,2.351039169,0.932643986,0.636799339,-0.284033322,BBR,cq0388.00-1,111,11.17,3,3
5,2.799957305,0.11236003,0.287088623,-0.366578653,BBR,cq0388.00-2,111,18.4,3,3
6,2.203262521,1.202668304,0.751918495,-0.256860724,BBR,cq0388.00-3,111,8.79,3,3
7,1.921369252,1.717756708,0.971515542,-0.205027279,BBR,cq0388.00-4,111,4.25,3,3
8,2.310680001,1.006390123,0.668239444,-0.276612234,BBR,cq0388.00-5,111,10.52,3,3
9,1.672384228,2.172713646,1.165476811,-0.159244876,BBR,cq0388.00-6,111,0.24,3,3
10,-1.442609013,-0.364163303,-0.049985536,-0.158758536,CHEN143,cq0186.00-1,143,8.22,1,1
11,-1.720776821,0.144117766,0.166709348,-0.107610115,CHEN143,cq0186.00-2,143,3.74,1,1
12,-1.81675769,0.252410606,0.150323004,-0.072556057,CHEN143,cq0186.00-4,144,2.81,1,1
13,-1.89338988,0.459524321,0.301176262,-0.075870693,CHEN143,cq0186.00-5,143,0.96,1,1
14,-1.58728111,-0.099811765,0.062715151,-0.13215679,CHEN143,cq0186.00-6,143,5.89,1,1
15,-1.60901297,-0.060102306,0.079644439,-0.12816082,CHEN147,cq0190.00-1,143,5.54,1,1
16,-1.954960458,0.437853252,0.166827849,-0.029738401,CHEN147,cq0190.00-2,145,1.2,1,1
17,-1.611496611,-0.055564083,0.081579215,-0.127704137,CHEN147,cq0190.00-3,143,5.5,1,1
18,-1.617705714,-0.044218523,0.086416154,-0.126562431,CHEN147,cq0190.00-4,143,5.4,1,1
19,-1.527673722,-0.208729137,0.016280533,-0.143117166,CHEN147,cq0190.00-5,143,6.85,1,1
20,-1.823227018,0.331319498,0.246518847,-0.088771969,CHEN147,cq0190.00-6,143,2.09,1,1
21,-0.335325437,-1.066735802,-0.532496592,0.680666463,CHEN150,cq0193.00-2,144,16.67,2,1
22,-0.584310461,-0.611778864,-0.338535324,0.726448866,CHEN150,cq0193.00-3,144,12.66,2,1
23,-0.098758619,-1.499001621,-0.716783982,0.637167471,CHEN150,cq0193.00-4,144,20.48,2,1
24,-0.579343179,-0.620855311,-0.342404875,0.725535502,CHEN150,cq0193.00-5,144,12.74,2,1
25,-0.563199512,-0.650353766,-0.354980918,0.722567066,CHEN150,cq0193.00-6,144,13,2,1
26,-0.547575912,-1.597082109,-0.20028616,-0.427766559,CHEN162,cq0205.00-2,137,18.94,1,1
27,-0.399178354,-1.868240982,-0.31588901,-0.455053328,CHEN162,cq0205.00-5,137,21.33,1,1
28,-0.475550319,-1.7286906,-0.256394656,-0.441010346,CHEN162,cq0205.00-NA1,137,20.1,1,1
29,-1.08776786,-0.610018427,0.220527564,-0.328438152,CHEN162,cq0205.00-NA2,137,10.24,1,1
30,-1.269174505,0.639636356,0.194979087,0.852379019,CHEN175,cq0212.00-2,144,1.63,2,1
31,-1.206361724,-0.393318239,0.312913106,-0.306631571,CHEN179,cq0216.00-1,137,8.33,1,1
32,-1.48142498,0.109290049,0.52718952,-0.256054003,CHEN179,cq0216.00-2,137,3.9,1,1
33,-1.188976236,-0.425085806,0.299369676,-0.309828347,CHEN179,cq0216.00-5,137,8.61,1,1
34,-1.248583623,-0.316168434,0.345804294,-0.298867971,CHEN179,cq0216.00-NA1,137,7.65,1,1
35,-1.28365598,-0.654609627,-0.173811183,-0.187986205,CHEN183,cq0218.00-1,143,10.78,1,1
36,-1.301041468,-0.622842061,-0.160267753,-0.184789428,CHEN183,cq0218.00-2,143,10.5,1,1
37,-1.548784672,-0.170154234,0.032726127,-0.139235366,CHEN183,cq0218.00-4,143,6.51,1,1
38,-1.340779727,-0.550230479,-0.129311341,-0.177482511,CHEN183,cq0218.00-5,143,9.86,1,1
39,-1.825710659,0.335857722,0.248453623,-0.088315286,CHEN183,cq0218.00-6,143,2.05,1,1
40,-2.027215788,0.569881529,0.223115312,-0.01645237,CHEN194,cq0229.00-1,145,0.0363,1,1
41,-1.943784073,0.417431245,0.158121358,-0.031793471,CHEN194,cq0229.00-3,145,1.38,1,1
42,-0.600974197,-1.499510297,-0.158688481,-0.417947889,CHEN195,cq0230.00-5,137,18.08,1,1
43,-1.365935667,-0.101737359,0.437222448,-0.277289731,CHEN195,cq0230.00-NA1,137,5.76,1,1
44,-1.970843901,0.399788375,0.088044988,-0.009412348,CHEN210,cq0243.00-2,146,1.56,1,1
45,-1.357083541,0.733179969,0.172304723,0.885948858,CHEN216,cq0248.00-1,145,0.83,2,1
46,-1.285057948,0.601571478,0.116196227,0.872705071,CHEN216,cq0248.00-2,145,1.99,2,1
47,-1.275123383,0.583418583,0.108457124,0.870878341,CHEN216,cq0248.00-3,145,2.15,2,1
48,-1.387508145,0.788773211,0.196005726,0.891543217,CHEN216,cq0248.00-5,145,0.34,2,1
49,-1.591727942,-0.225861982,-0.116133104,-0.096528191,CHEN220,cq0252.00-1,145,7.05,1,1
50,-1.743850962,0.052104227,0.002371911,-0.068556399,CHEN220,cq0252.00-2,145,4.6,1,1
51,-1.701629062,-0.025045578,-0.030519277,-0.076319998,CHEN220,cq0252.00-5,145,5.28,1,1
52,-1.574963364,-0.256494993,-0.12919284,-0.099610797,CHEN220,cq0252.00-6,145,7.32,1,1
53,-1.438363102,-0.506097303,-0.235605506,-0.124728325,CHEN220,cq0252.00-NA1,145,9.52,1,1
54,-1.964274113,0.454871592,0.174083258,-0.028025842,CHEN315,cq0278.00-1,145,1.05,1,1
55,-1.613678871,0.350950468,0.630216328,-0.231735669,CHEN354,cq0295.00-2,137,1.77,1,1
56,-0.921363903,-0.914079423,0.09089759,-0.359035868,CHEN354,cq0295.00-4,137,12.92,1,1
57,-0.8487174,-1.04682247,0.034305399,-0.372393826,CHEN354,cq0295.00-5,137,14.09,1,1
58,0.100553582,-1.863194083,-0.872049735,0.600518714,CHEN376,cq0305.00-1,144,23.69,2,1
59,-0.407971941,-0.933992755,-0.475904402,0.694024421,CHEN376,cq0305.00-2,144,15.5,2,1
60,-0.753198059,-0.303179644,-0.206970573,0.757503265,CHEN376,cq0305.00-3,144,9.94,2,1
61,-0.717185262,-0.368983889,-0.235024821,0.750881371,CHEN376,cq0305.00-5,144,10.52,2,1
62,-0.380651888,-0.983913217,-0.497186935,0.689000915,CHEN376,cq0305.00-6,144,15.94,2,1
63,1.890814108,0.120420667,1.104011709,0.261582892,CHERRYVANILLA,cq0333.00-1,111,12.98,3,2
64,2.208099263,-0.459337427,0.856844108,0.203241724,CHERRYVANILLA,cq0333.00-2,111,18.09,3,2
65,1.996989766,-0.073588402,1.021300046,0.242059722,CHERRYVANILLA,cq0333.00-3,111,14.69,3,2
66,2.183262852,-0.413955189,0.876191866,0.207808547,CHERRYVANILLA,cq0333.00-4,111,17.69,3,2
67,1.854180401,0.187359468,1.132549652,0.268318956,CHERRYVANILLA,cq0333.00-5,111,12.39,3,2
68,1.552418003,0.738753663,1.367624904,0.323805859,CHERRYVANILLA,cq0333.00-6,111,7.53,3,2
69,0.208101602,-0.406542981,-1.06452395,0.119751391,CICA-127,cq0330.00-2,144,16.2,2,2
70,-0.692839221,1.239697712,-0.362684049,0.285412906,CICA-127,cq0330.00-5,144,1.69,2,2
71,-1.983782557,0.557606159,0.280436673,-0.041844171,CICA-127,cq0330.00-6,144,0.12,1,1
72,-0.385258485,-0.908407993,-0.402442174,0.672442492,CICA-17,cq0331.00-4,143,15.25,2,1
73,0.749866832,0.525037726,-1.230632001,-0.510479978,G-205-95 DK,cq0336.00-2,140,13.24,2,3
74,0.109708328,1.694764917,-0.731943553,-0.392770108,G-205-95 DK,cq0336.00-5,140,2.93,2,3
